char,charname,birthname,types,universes,birthplace,superpowers,religions,gender,occupation,memberof
http://www.wikidata.org/entity/Q840291,Magneto,Max Eisenhardt,"film character, animated character, comics character, mutant","Earth-616, Marvel Universe",Germany,"electromagnetism manipulation, magnetism manipulation",Judaism,male,"head teacher, ruler, spy, orderly","X-Men, Brotherhood of Mutants, New Mutants, Hellfire Club, Excalibur, Acolytes, Savage Land Mutates"
http://www.wikidata.org/entity/Q770064,Warren Worthington III,Warren Kenneth Worthington III,"film character, animated character, mutant","Earth-616, Marvel Universe",,"flight, healing factor",,,,
http://www.wikidata.org/entity/Q48777057,Elliot Boggs,Elliot Boggs,mutant,Marvel Universe,,reality warping,,,,
http://www.wikidata.org/entity/Q718806,Proteus,Kevin MacTaggert,"animated character, mutant","Earth-616, Marvel Universe",,"reality warping, body hopping",,,,
http://www.wikidata.org/entity/Q4003156,Ultimate Colossus,Пётр Николаевич Распутин,"comics character, mutant",Marvel Universe,,"Superhuman endurance, inorganic, superhuman durability, superhuman strength",,,,
http://www.wikidata.org/entity/Q60146,Abomination,Emil Blonsky,"gamma mutate, mutate",Marvel Universe,,"superhuman durability, superhuman speed, superhuman strength, healing factor",,,,
http://www.wikidata.org/entity/Q654588,Kraven the Hunter,Сергей Николаевич Кравинов,"film character, animated character, mutate","Earth-616, Marvel Universe",,"superhuman speed, superhuman strength",,,,
http://www.wikidata.org/entity/Q3985214,Negasonic Teenage Warhead,Eloise Phimister,"film character, mutant","Earth-616, Marvel Universe",,"reality warping, precognition, telepathy",,,,
http://www.wikidata.org/entity/Q578279,Firestar,Angelica Jones,mutant,"Earth-616, Marvel Universe",,"flight, pyrokinesis",,,,
http://www.wikidata.org/entity/Q302186,Beast,Henry Philip McCoy,"anime character, film character, animated character, video game character, mutant","Earth-616, Marvel Universe",,"Superhuman endurance, superhuman senses, superhuman agility / reflexes, superhuman durability, superhuman speed, superhuman strength, healing factor",,,,
http://www.wikidata.org/entity/Q1995969,Emma Frost,Emma Grace Frost,"anime character, film character, animated character, mutant","Earth-616, Marvel Universe",,"inorganic, superhuman durability, superhuman strength, astral projection, telepathy",,,,
http://www.wikidata.org/entity/Q2500449,Silvermane,Silvio Manfredi,"cyborg in a work of fiction, fictional human, comics character",Marvel Universe,,"superhuman senses, superhuman durability, superhuman strength",,,,
http://www.wikidata.org/entity/Q3547398,Grand Director,William Burnside,"mutate, supersoldier, comics character",Marvel Universe,,superhuman strength,,,,
http://www.wikidata.org/entity/Q20979395,Spider-Woman,Gwendolyne Maxine Stacy,"fictional vigilante, animated character, mutate, comics character",Marvel Universe,,"superhuman agility / reflexes, superhuman durability, superhuman speed, superhuman strength",,,,
http://www.wikidata.org/entity/Q2737568,Feral,Maria Callasantos,mutant,"Earth-616, Marvel Universe",,"superhuman senses, superhuman agility / reflexes, superhuman durability, superhuman speed, superhuman strength",,,,
http://www.wikidata.org/entity/Q1631090,Deadpool,Wade Winston Wilson,"film character, animated character, mutate, supersoldier, video game character","Earth-616, Marvel Universe",,healing factor,,,,
http://www.wikidata.org/entity/Q1841525,Thunderbolt Ross,Thaddeus E. Ross,"gamma mutate, film character, animated character, fictional human, supersoldier","Earth-616, Marvel Universe",,"superhuman durability, superhuman speed, superhuman strength, healing factor",,,,
http://www.wikidata.org/entity/Q48958279,Ultimate Kitty Pryde,Katherine Pryde,"fictional vigilante, mutant",Marvel Universe,,intangibility,,,,
http://www.wikidata.org/entity/Q2296652,Bishop,Lucas Bishop,"film character, animated character, mutant","Earth-1191, Marvel Universe",,"energy manipulation, superhuman durability, superhuman strength",,,,
http://www.wikidata.org/entity/Q2663986,Aurora,Jeanne-Marie Beaubier,mutant,"Earth-616, Marvel Universe",,"flight, superhuman agility / reflexes, superhuman durability, superhuman speed, photokinesis",,,,
http://www.wikidata.org/entity/Q186422,Wolverine,James Howlett,"anime character, film character, animated character, literary character, video game character, comics character, mutant","Earth-616, Marvel Universe",,"superhuman longevity, superhuman senses, superhuman agility / reflexes, superhuman durability, superhuman speed, superhuman strength, healing factor, extrasensory perception",,,,
http://www.wikidata.org/entity/Q632212,Storm,Ororo Munroe,"anime character, film character, animated character, mutant","Earth-616, Marvel Universe",,"flight, weather manipulation",,,,
http://www.wikidata.org/entity/Q48544198,Ultimate Green Goblin,Norman Osborn,"fictional human, mutate, comics character",Marvel Universe,,"superhuman durability, superhuman speed, immortality, superhuman strength, healing factor",,,,
http://www.wikidata.org/entity/Q923391,Ezekiel,Ezekiel Sims,"mutate, comics character",Marvel Universe,,"superhuman senses, superhuman agility / reflexes, superhuman speed, superhuman strength",,,,
http://www.wikidata.org/entity/Q2584217,Dazzler,Alison Blaire,"film character, mutant",Marvel Universe,,photokinesis,,,,
http://www.wikidata.org/entity/Q2604713,Arclight,Philippa Sontag,"film character, animated character, mutant",Marvel Universe,,"superhuman durability, superhuman strength",,,,
http://www.wikidata.org/entity/Q1748149,Menace,Lily Hollister,"mutate, comics character",Marvel Universe,,superhuman strength,,,,
http://www.wikidata.org/entity/Q944173,Nuke,Frank Simpson,"television character, mutate",Marvel Universe,,"superhuman durability, superhuman speed, superhuman strength",,,,
http://www.wikidata.org/entity/Q3525849,Thornn,Lucia Callasantos,mutant,"Earth-616, Marvel Universe",,"superhuman senses, superhuman agility / reflexes, superhuman durability, superhuman speed, superhuman strength",,,,
http://www.wikidata.org/entity/Q920406,Warpath,James Proudstar,mutant,"Earth-616, Marvel Universe",,"flight, superhuman speed, superhuman strength",,,,
http://www.wikidata.org/entity/Q2604744,Anya Corazon,Anya Sofia Corazon,"mutate, comics character",Marvel Universe,,"superhuman agility / reflexes, superhuman strength",,,,
http://www.wikidata.org/entity/Q1990090,Hydro-Man,Morris Bench,"fictional human, mutate, comics character",Marvel Universe,,hydrokinesis,,,,
http://www.wikidata.org/entity/Q521305,Chameleon,Дмитрий Анатолий Николаевич Смердяков Кравинов,"animated character, mutate, comics character","Earth-616, Marvel Universe",,shapeshifting,,,,
http://www.wikidata.org/entity/Q881024,Blade,Eric Brooks,"dhampir in a work of fiction, film character, television character, animated character, comics character","Earth-616, Marvel Universe",,"superhuman longevity, superhuman senses, superhuman agility / reflexes, superhuman durability, superhuman speed, superhuman strength, healing factor",,,,
http://www.wikidata.org/entity/Q1984020,Terrax,Tyros,"fictional human, extraterrestrials in fiction, comics character",Marvel Universe,,"energy manipulation, superhuman durability",,,,
